System,Site,Process,Condition,ICM V4.0,ICM V3.1 Surgical,ICM V3.1 Non-surgical,Unique code,APII code
Respiratory,Upper airway or trachea,Haemorrhage,Haemorrhage into upper airway,1.1.15.3,1.1.1.15.3,2.1.1.15.3,RE119,R23
Respiratory,Upper airway or trachea,Haemorrhage,Tracheal haemorrhage,1.1.15.4,1.1.1.15.4,2.1.1.15.4,RE147,R23
Respiratory,Upper airway or trachea,Infection,"Mandible, facial bones, dental or salivary infection",1.1.27.1,1.1.1.27.1,2.1.1.27.1,RE71,R01
Respiratory,Upper airway or trachea,Infection,"Pandemic influenza, suspected",1.1.27.10,1.1.1.27.10,2.1.1.27.10,RE138,R01
Respiratory,Upper airway or trachea,Infection,"Pandemic influenza, confirmed",1.1.27.11,1.1.1.27.11,2.1.1.27.11,RE139,R01
Respiratory,Upper airway or trachea,Infection,Tonsil or pharyngeal infection,1.1.27.2,1.1.1.27.2,2.1.1.27.2,GA114,R01
Respiratory,Upper airway or trachea,Infection,Epiglottitis,1.1.27.3,1.1.1.27.3,2.1.1.27.3,RE40,R01
Respiratory,Upper airway or trachea,Infection,Pertussis,1.1.27.6,1.1.1.27.6,2.1.1.27.6,RE90,R01
Respiratory,Upper airway or trachea,Infection,Respiratory sinus infection,1.1.27.7,1.1.1.27.7,2.1.1.27.7,RE118,R01
Respiratory,Upper airway or trachea,Infection,"Croup or laryngotracheobronchitis, non-influenza",1.1.27.8,1.1.1.27.8,2.1.1.27.8,RE120,R01
Respiratory,Upper airway or trachea,Infection,"Croup or laryngotracheobronchitis, influenza",1.1.27.9,1.1.1.27.9,2.1.1.27.9,RE121,R01
Respiratory,Upper airway or trachea,Inflammation,Inhalation burns,1.1.28.1,1.1.1.28.1,2.1.1.28.1,RE60,R36
Respiratory,Upper airway or trachea,Inflammation,Angioedema due to drug or treatment reaction,1.1.28.2,1.1.1.28.2,2.1.1.28.2,RE5,R25
Respiratory,Upper airway or trachea,Inflammation,Oedema due to venous obstruction,1.1.28.3,1.1.1.28.3,2.1.1.28.3,RE77,R26
Respiratory,Upper airway or trachea,Inflammation,Extubation related oedema or obstruction,1.1.28.4,1.1.1.28.4,2.1.1.28.4,RE122,R26
Respiratory,Upper airway or trachea,Obstruction,Extrinsic compression of airway by haematoma,1.1.30.1,1.1.1.30.1,2.1.1.30.1,RE44,R26
Respiratory,Upper airway or trachea,Obstruction,Angioedema due to drug or treatment reaction,1.1.30.10,1.1.1.30.10,2.1.1.30.10,RE5,R25
Respiratory,Upper airway or trachea,Obstruction,Oedema due to venous obstruction,1.1.30.11,1.1.1.30.11,2.1.1.30.11,RE77,R26
Respiratory,Upper airway or trachea,Obstruction,Obstructive sleep apnoea,1.1.30.12,1.1.1.30.12,2.1.1.30.12,RE81,R26
Respiratory,Upper airway or trachea,Obstruction,Vascular ring,1.1.30.14,1.1.1.30.14,2.1.1.30.14,RE104,C14
Respiratory,Upper airway or trachea,Obstruction,Laryngospasm,1.1.30.15,1.1.1.30.15,2.1.1.30.15,RE65,R26
Respiratory,Upper airway or trachea,Obstruction,Laryngeal cord paresis,1.1.30.16,1.1.1.30.16,2.1.1.30.16,RE123,R26
Respiratory,Upper airway or trachea,Obstruction,Extubation related oedema or obstruction,1.1.30.17,1.1.1.30.17,2.1.1.30.17,RE122,R26
Respiratory,Upper airway or trachea,Obstruction,Surgical emphysema,1.1.30.18,1.1.1.30.18,2.1.1.30.18,RE124,R26
Respiratory,Upper airway or trachea,Obstruction,Extrinsic compression of airway by tumour or malignancy,1.1.30.19,1.1.1.30.19,2.1.1.30.19,RE125,R26
Respiratory,Upper airway or trachea,Obstruction,Extrinsic compression of airway by abscess,1.1.30.2,1.1.1.30.2,2.1.1.30.2,RE43,R26
Respiratory,Upper airway or trachea,Obstruction,Obstruction of tracheostomy,1.1.30.20,1.1.1.30.20,2.1.1.30.20,RE126,R26
Respiratory,Upper airway or trachea,Obstruction,Displacement of tracheostomy,1.1.30.21,1.1.1.30.21,2.1.1.30.21,RE127,R26
Respiratory,Upper airway or trachea,Obstruction,Haemorrhage into upper airway,1.1.30.22,1.1.1.30.22,2.1.1.30.22,RE119,R23
Respiratory,Upper airway or trachea,Obstruction,Extrinsic compression of airway by thyroid or lymphoid tissue,1.1.30.3,1.1.1.30.3,2.1.1.30.3,RE45,R26
Respiratory,Upper airway or trachea,Obstruction,Epiglottitis,1.1.30.4,1.1.1.30.4,2.1.1.30.4,RE40,R01
Respiratory,Upper airway or trachea,Obstruction,Croup or laryngotracheobronchitis,1.1.30.5,1.1.1.30.5,2.1.1.30.5,RE27,R01
Respiratory,Upper airway or trachea,Obstruction,Hanging or strangulation,1.1.30.6,1.1.1.30.6,2.1.1.30.6,RE53,R26
Respiratory,Upper airway or trachea,Obstruction,Tracheal stenosis,1.1.30.7,1.1.1.30.7,2.1.1.30.7,RE114,R26
Respiratory,Upper airway or trachea,Obstruction,Upper airway obstruction by foreign body,1.1.30.8,1.1.1.30.8,2.1.1.30.8,RE48,R26
Respiratory,Upper airway or trachea,Obstruction,Inhalation burns,1.1.30.9,1.1.1.30.9,2.1.1.30.9,RE60,R36
Respiratory,Upper airway or trachea,Tumour or malignancy,Head or neck tumour not intraoral or intranasal,1.1.39.1,1.1.1.39.1,2.1.1.39.1,RE54,R02
Respiratory,Upper airway or trachea,Tumour or malignancy,Tracheal tumour,1.1.39.3,1.1.1.39.3,2.1.1.39.3,RE113,R02
Respiratory,Upper airway or trachea,Tumour or malignancy,Laryngeal tumour,1.1.39.4,1.1.1.39.4,2.1.1.39.4,RE63,R02
Respiratory,Upper airway or trachea,Tumour or malignancy,Malignant neoplasm of oropharynx,1.1.39.5,1.1.1.39.5,2.1.1.39.5,GA164,R02
Respiratory,Upper airway or trachea,Tumour or malignancy,Malignant neoplasm of nasopharynx,1.1.39.6,1.1.1.39.6,2.1.1.39.6,GA162,R02
Respiratory,Upper airway or trachea,Tumour or malignancy,Malignant neoplasm of hypopharynx,1.1.39.7,1.1.1.39.7,2.1.1.39.7,GA161,R02
Respiratory,Upper airway or trachea,Vascular,Vascular ring,1.1.41.1,1.1.1.41.1,2.1.1.41.1,RE104,C14
Respiratory,Upper airway or trachea,Vascular,Arterio-venous malformation,1.1.41.2,1.1.1.41.2,2.1.1.41.2,NE86,N14
Respiratory,Upper airway or trachea,Trauma (or traumatic perforation or fistula),"Trauma to mouth, mandible, pharynx or facial bones",1.1.56.1,1.1.1.56.1,2.1.1.56.1,NE50,R03
Respiratory,Upper airway or trachea,Trauma (or traumatic perforation or fistula),Laryngeal trauma or traumatic perforation,1.1.56.2,1.1.1.56.2,2.1.1.56.2,RE140,R03
Respiratory,Upper airway or trachea,Trauma (or traumatic perforation or fistula),Tracheal trauma or traumatic perforation,1.1.56.3,1.1.1.56.3,2.1.1.56.3,RE142,R03
Respiratory,Upper airway or trachea,Trauma (or traumatic perforation or fistula),Traumatic tracheo-oesophageal fistula,1.1.56.4,1.1.1.56.4,2.1.1.56.4,GA210,R03
Respiratory,Upper airway or trachea,Non-traumatic perforation or fistula,Non-traumatic laryngeal perforation,1.1.57.1,1.1.1.57.1,2.1.1.57.1,RE141,R26
Respiratory,Upper airway or trachea,Non-traumatic perforation or fistula,Non-traumatic tracheal perforation or fistula,1.1.57.2,1.1.1.57.2,2.1.1.57.2,RE143,R26
Respiratory,Upper airway or trachea,Non-traumatic perforation or fistula,Non-traumatic tracheo-oesophageal fistula,1.1.57.3,1.1.1.57.3,2.1.1.57.3,GA211,R14
Respiratory,Upper airway or trachea,Congenital or acquired deformity or abnormality,"Mouth, mandible, pharynx or facial bones deformity",1.1.8.1,1.1.1.8.1,2.1.1.8.1,NE25,R14
Respiratory,Upper airway or trachea,Congenital or acquired deformity or abnormality,Laryngomalacia,1.1.8.3,1.1.1.8.3,2.1.1.8.3,RE64,R14
Respiratory,Upper airway or trachea,Congenital or acquired deformity or abnormality,Tracheomalacia,1.1.8.4,1.1.1.8.4,2.1.1.8.4,RE112,R14
Respiratory,Upper airway or trachea,Congenital or acquired deformity or abnormality,Choanal atresia,1.1.8.5,1.1.1.8.5,2.1.1.8.5,RE20,R14
Respiratory,Upper airway or trachea,Congenital or acquired deformity or abnormality,Abnormality of vocal cord,1.1.8.6,1.1.1.8.6,2.1.1.8.6,RE38,R14
Respiratory,Upper airway or trachea,Congenital or acquired deformity or abnormality,Traumatic tracheo-oesophageal fistula,1.1.8.7,1.1.1.8.7,2.1.1.8.7,GA210,R03
Respiratory,Upper airway or trachea,Congenital or acquired deformity or abnormality,Non-traumatic tracheo-oesophageal fistula,1.1.8.8,1.1.1.8.8,2.1.1.8.8,GA211,R14
Respiratory,Brain lesions causing respiratory failure,Haemorrhage,Non-traumatic subarachnoid haemorrhage,1.10.15.2,1.1.10.15.2,2.1.10.15.2,NE35,N06
Respiratory,Brain lesions causing respiratory failure,Haemorrhage,Non-traumatic subdural haemorrhage,1.10.15.3,1.1.10.15.3,2.1.10.15.3,NE58,N06
Respiratory,Brain lesions causing respiratory failure,Haemorrhage,Extradural haemorrhage,1.10.15.4,1.1.10.15.4,2.1.10.15.4,NE14,N06
Respiratory,Brain lesions causing respiratory failure,Haemorrhage,Intracerebral haemorrhage (supratentorial),1.10.15.5,1.1.10.15.5,2.1.10.15.5,NE78,N05
Respiratory,Brain lesions causing respiratory failure,Haemorrhage,Intracerebral haemorrhage (posterior fossa),1.10.15.6,1.1.10.15.6,2.1.10.15.6,NE79,N05
Respiratory,Brain lesions causing respiratory failure,Infection,"Meningitis, unspecified",1.10.27.1,1.1.10.27.1,2.1.10.27.1,NE23,N01
Respiratory,Brain lesions causing respiratory failure,Infection,Encephalitis,1.10.27.2,1.1.10.27.2,2.1.10.27.2,NE47,N01
Respiratory,Brain lesions causing respiratory failure,Infection,Intracranial abscess,1.10.27.3,1.1.10.27.3,2.1.10.27.3,NE2,N01
Respiratory,Brain lesions causing respiratory failure,Infection,Infected CSF shunt,1.10.27.4,1.1.10.27.4,2.1.10.27.4,NE49,N01
Respiratory,Brain lesions causing respiratory failure,Infection,Meningococcal meningitis,1.10.27.5,1.1.10.27.5,2.1.10.27.5,NE69,N01
Respiratory,Brain lesions causing respiratory failure,Infection,"Bacterial meningitis, not meningococcal",1.10.27.6,1.1.10.27.6,2.1.10.27.6,NE63,N01
Respiratory,Brain lesions causing respiratory failure,Infection,Viral meningitis,1.10.27.7,1.1.10.27.7,2.1.10.27.7,NE77,N01
Respiratory,Brain lesions causing respiratory failure,Seizures,Status epilepticus or uncontrolled seizures,1.10.33.1,1.1.10.33.1,2.1.10.33.1,NE57,N07
